ModuleID,DateTime,Description,LectureSize,LabSize,ExerciseSize,HomeworkSize,OtherSize,AuthorComments,Status,BaseID,Version,Submitter,SubmitterUserID,CheckInComments
135,19:09.1,"In order to familiarize themselves with what is involved with creating a software project, as opposed to just a program, this writing assignment requires students to evaluate projects created in earlier semesters.  Students must follow a systematic evaluation process, collect data, support conclusions, and synthesize what they have learned in the process.  An important side benefit is forcing the students to become familiar with the documentation standards early in the semester by studying them in the context of earlier projects.  This assignment is reasonable piece of individual writing within the context of a substantial writing component course.",45,0,600,0,300,I have refined this assignment over several semesters.  It is both an orientation opportunity for the students and a chance for me to obtain feedback on the projects created during earlier semesters (many of which are developed further and/or released to the public).,2,50,1,almstrum,almstrum,"It has been a very interesting process to set up this assignment as a module.  I have used this assignment for a long time; trying to slice it up and describe it within this template has given me many insights.  I look forward to the opportunity to refine this further, based on comments!!  I have probably overlooked important aspects and may have also pushed the boundaries of what was intended for some sections."
133,00:03.0,This is a method for stimulating growth in technical leadership in classes such as software architecture and design.  Shown here is the critical term-project intro material for making that happen.,15,35,0,0,0,"The lesson is based on a philosophy that software architecture is an act of social leadership, as architecture is in the building trades.",2,49,1,chenoweth,chenoweth,A novel approach for learning leadership by working on multiple projects in a software architecture class.
134,28:30.0,UW-Plattevilles Course Syllabus for Software Maintenance class,0,0,0,0,0,UW-Plattevilles Course Syllabus for Software Maintenance class,2,44,2,rowemi,rowemi,Added material to course
136,42:22.9,"This module presents a two-step program assignment for the object-oriented design course. The assignment serves as a foundation for design and programming project.<br>For this assignement, students are given design documents and are required to implement the design.  The emphasis is on learning the design notations and on conformation of the programs to the design documents. The module includes common design requirements which (while not all applicable to the assignment) are required for subsequent project work.  <br>",180,0,0,0,0,,2,51,1,hankley,hankley,"Assignment for use in object-oriented design and architecture course<br>(CS3 equivalent).  The time allocation varies depending on how much of the foundation concepts and IDE features must be presented.    <br>"
138,00:59.5,This module introduces object-oriented design principles and patterns.  It motivates the use of patterns by showing students that design patterns naturally occur in the process of designing object-oriented software systems.  This starts a shift in the student's mind from the programming to engineering of these systems using established principles and practices.,60,0,30,240,0,We use this exercise during the first week of our Engineering Software Subsystems course which is a design principles and patterns course.,4,53,1,jvallino,Jim Vallino,This exercise spans two class periods.  The suggested approach for running the exercise is detailed in the PowerPoint file notes particularly the notes for the last slide.
139,28:14.1,"This module introduces object-oriented design principles and patterns.  It motivates the use of patterns by showing students that design patterns naturally occur in the process of designing object-oriented software systems.  <br><br>This activity is split across to consecutive class periods.  The two lecture and exercise times are for each session.",80,0,30,240,0,We use this exercise in two consecutive classes the first week of our Engineering of Software Subsystems course which is a design principles and patterns course.,2,53,2,jvallino,Jim Vallino,Added some additional design problems that we have used.  Clarified the times given for the module.
142,07:44.4,"This is a series of five exercises through which students can apply concepts of corrective and perfective maintenance.<br>",0,0,950,0,0,,2,56,1,bagert,bagert,This is the initial version.
143,50:51.4,"This module introduces the concepts of verification and validation, and how they fit into a traditional software development lifecycle. It is intended for an introductory course in software engineering, or an advanced programming class. A traditional approach is provided to make it easier for the student to grasp the incremental nature of V&amp;V. The presentation is at a very high level and little detail is provided on different techniques for verification and validation.",120,0,20,0,0,"This module is intended for an introductory course in software engineering, or an advanced programming class.",2,57,1,towhid,towhid,We are happy to check in this module.  Enjoy!
144,16:54.4,"This module provides an introduction to use case templates, as well as an exercise on applying the template to a lab access problem. Students are asked to create a system-level use case description for the problem.",60,60,0,0,0,In progress,4,58,1,ssedighs,ssedighs,In progress
145,44:01.6,"This module reiterates the role and application of system use case models.  The main focus of the module is enabling students to identify use case narrative actions that need refinement. A homework assignment is included where students are to refine an existing use case for a lab access problem.<br>",60,0,0,60,0,,4,59,1,ssedighs,ssedighs,In progress
146,47:03.8,"This module provides an introduction to use case templates, as well as an exercise on applying the template to a lab access problem. Students are asked to create a system-level use case description for the problem.",60,60,0,0,0,In progress,4,58,2,ssedighs,ssedighs,In progress
148,06:38.7,"Teach the processes followed in conducting usability testing, including process overview, how to plan and conduct tests, review results, and make recommendations.  In-class quizzes (used as study guides) and a series of homework exercises lead students through the process of evaluating a user interface for suitability.",480,0,0,0,0,"This module has evolved from a unit that was part of a Software Quality Assurance course taught by Mark Ardis at Rose-Hulman Institute.  During the SWENET workshop in July 2005, Mark and Vicki Almstrum have adapted the unit as a module for SWENET.  Continuing work will complete this module and add two variants that can be taught in shorter periods.",4,60,1,almstrum,almstrum,I am setting this up without materials for the moment.  We must finalize the overview and teacher notes.
149,50:28.2,"Developing an optimal architecture for a given problem statement is a pretty challenging task for an undergraduate student. They can usually come up with “a” architecture based on materials taught in class but usually do not develop an appreciation for the various “other” architectural styles that could also work in the given context. The different architectural styles usually provide a tradeoff between the various quality attributes that they address for the system.<br><br>This module attempts to address this issue by providing two architectural solutions for a given problem statement (Meeting Scheduler System) for different quality attributes.<br>",120,0,0,300,0,,2,61,1,changliu,changliu,Initial version.
151,22:20.6,"Teach the processes followed in conducting usability testing, including process overview, how to plan and conduct tests, review results, and make recommendations.  In-class quizzes (used as study guides) and a series of homework exercises lead students through the process of evaluating a user interface for suitability.",480,0,0,0,0,"This module has evolved from a unit that was part of a Software Quality Assurance course taught by Mark Ardis at Rose-Hulman Institute.  During the SWENET workshop in July 2005, Mark and Vicki Almstrum have adapted the unit as a module for SWENET.  Continuing work will complete this module and add two variants that can be taught in shorter periods.",4,60,2,almstrum,almstrum,Just a test that I could edit the module.
153,27:41.7,"This module provides an introduction to project planning, with accompanying slides, lecture notes, examples and exercises, which can be done in one week of either a software engineering introductory course or a software project management class.",180,0,180,0,0,This module was created at the SWENET workshop held in Milwaukee on 11-13 July 2005.,0,64,1,bagert,bagert,
159,27:18.1,"Students are presented with a hypothetical product for which they are asked to provide a user interface.  They are assigned two or more interviewees (potential users) who will provide scenarios (stories of use) for the product.  Students are expected to construct a requirements elicitation plan and materials to be used to record input from their interviewees.  Once they have material from their potential users, they must reconcile different preferences to produce a prototype, which will be documented both in natural language and as a set of Statechart diagrams.  This work will require the students to exercise their knowledge of user interface design principles, formal and informal documentation, and requirements elicitation techniques.<br><br>We have also provided some optional PowerPoint slides that may be used to augment lecture material during this phase of the course.",60,0,0,0,0,"This module was developed during the SWEnet workshop in Milwaukee the week of July 11, 2005.",2,67,1,mbattig,mbattig,This is our second draft after applying comments from the &quot;Design&quot; group at the Milwaukee SWEnet workshop.
157,43:46.0,"This module reiterates the role and application of system use case models.  The main focus of the module is enabling students to identify use case narrative actions that need refinement. A homework assignment is included where students are to refine an existing use case for a lab access problem.<br>",60,0,0,60,0,,4,59,2,frezza001,"Stephen Frezza, PhD, CSDP",Added instructor notes.
158,45:53.2,"This module provides an introduction to use case templates, as well as an exercise on applying the template to a lab access problem. Students are asked to create a system-level use case description for the problem.",60,60,0,0,0,In progress,4,58,3,frezza001,"Stephen Frezza, PhD, CSDP","Revised PPT slides, based on review at SWENET 05 Workshop"
160,25:45.4,Multiple activities for use in a Software Maintenance (evolution)  class,0,0,0,0,0,This currently a collection of group or individual activities that is a work in progress.  I will be updating/adding to the depth of the material as time permits.,0,44,3,rowemi,rowemi,
161,01:53.0,"In software engineering project courses, different teams may work on different projects and often need to use different software tools, languages, and platforms to complete the projects. It is neither practical nor interesting to all students to teach all necessary technologies in classroom. The technology evaluation and review assignment is an attempt to help students learn new technologies independently and work in teams to adopt new technologies in their projects. This individual assignment consists of three to five stages and runs in parallel with term-long team projects.",25,0,0,300,0,"This assignment consists of five stages, two of which are optional.",2,40,3,changliu,changliu,Updated learning objectives.
162,51:02.9,Thirty two questions concerning use cases. Could be used as review questions or test questions. Each question requires a short answer.,0,0,0,0,0,,4,68,1,pgrabow,Paul Grabow,I was not sure whether this should be placed in its own module.
163,14:47.5,"This module provides an introduction to use case templates, as well as an exercise on applying the template to a lab access problem. Students are asked to create a system-level use case description for the problem.",60,60,0,0,0,Version 4,2,58,4,pgrabow,Paul Grabow,Version 4
164,30:22.6,"This module reiterates the role and application of system use case models.  The main focus of the module is enabling students to identify use case narrative actions that need refinement. A homework assignment is included where students are to refine an existing use case for a lab access problem.<br>",60,0,0,60,0,Modest revision,4,59,3,pgrabow,Paul Grabow,Modest revision
165,19:38.4,"This module reiterates the role and application of system use case models.  The main focus of the module is enabling students to identify use case narrative actions that need refinement. A homework assignment is included where students are to refine an existing use case for a lab access problem.<br>",60,0,0,60,0,Previous version contained two copies of the RequestEntry use case: one in the homework description itself and another as a separate file. This new version corrects that problem.,2,59,4,pgrabow,Paul Grabow,Corrects a minor problem with previous version.
166,23:09.5,Thirty two questions concerning use cases. Could be used as review questions or test questions. Each question requires a short answer.,0,0,0,0,0,"Could be used as review questions, quiz questions, or exam questions.",2,68,2,pgrabow,Paul Grabow,Corrected Module Identifiers
167,04:06.5,The module presents a checklist for assessing quality of a high level class models. The checklist addresses some concrete aspects of structure and some subjective aspects (completeness and use of names). The checklist does not address general (and more abstract) criteria (such as cohesion and maintainability).  The checklist could be used by students to check a class model before submission and it could be used by an instructor to grade class models.  The module presents a sample problem (written requirements for meeting scheduling software) with the assignment to develop a high level (domain) class model.  Three sample solutions are shown together with comments about the evaluation and comparison of the solutions. Additional teaching notes are included.,30,0,60,120,0,The module is aimed at students in a second year software engineering course. There is no new lecture material that is expected to be covered as part of this exercise.  The problem is appropriate as an in-class exercise or as a homework problem.,0,69,1,jvallino,Jim Vallino,
176,04:43.8,"This module is an alternative lecture designed to introduce students to the basic concepts and structure of the PSP (Personal Software Process). Through  an exercise, students learn the basics of scheduling and earned value in the PSP.",50,0,50,0,0,,2,78,1,davec,davec,lecture+exercise Aug 2005
177,51:23.2,"Teach the processes followed in conducting usability testing, including process overview, how to plan and conduct tests, review results, and make recommendations.  In-class quizzes (used as study guides / exercises) and a series of homework exercises lead students through the process of evaluating a user interface for suitability.",480,0,0,120,0,"This module has evolved from a unit that was part of a Software Quality Assurance course taught by Mark Ardis at Rose-Hulman Institute.  During the SWENET workshop in July 2005, Mark and Vicki Almstrum have adapted the unit as a module for SWENET.  Continuing work wil add two variants that can be taught in shorter periods, as well as a sample project that was used at Rose-Hulman for the team-run usability testing.",2,60,3,almstrum,almstrum,The module should now be complete and ready for adaptation.  We have uploaded all of the files that we believe are needed after making the module general for easier adaptation and adding explanations we hope will help an instructor in the process of understanding and using the module.
178,11:57.7,"In order to familiarize themselves with what is involved with creating a software project, as opposed to just a program, this writing assignment requires students to evaluate projects created in earlier semesters.  Students must follow a systematic evaluation process, collect data, support conclusions, and synthesize what they have learned in the process.  An important side benefit is forcing the students to become familiar with the documentation standards early in the semester by studying them in the context of earlier projects.  This assignment is reasonable piece of individual writing within the context of a substantial writing component course.",45,0,600,0,300,I have refined this assignment over several semesters.  It is both an orientation opportunity for the students and a chance for me to obtain feedback on the projects created during earlier semesters (many of which are developed further and/or released to the public).,0,50,2,almstrum,almstrum,
131,46:30.8,"Students learn to create a general vehicle, the problem statement, which communicates the needs to all stakeholders, and is used to guide their expectations and their project work.",25,25,0,120,9,"This module follows common industry practice for large projects and for new work, both of which are difficult to control and tend to drift away from critical targets.",2,47,1,chenoweth,chenoweth,"Additional examples may be added.  It is correct that other resources, specific to software engineering, do not exist."
137,23:33.3,"Students are introduced to the concepts of black and white box testing via a hands-on exercise.  Students work in small teams (two or three) to develop a comprehensive set of unit tests for a given module.  Some teams are given only the interface to the module, while others are given the interface and the code.  Algorithms and internal module design may vary.  Upon completion of the exercise, a team representative presents the team’s tests and the justification for them.  The instructor then leads the class in a comparison of the different sets of tests developed and expands on black and white box testing concepts.",30,0,40,0,9,"The order of lecture and exercise are reversed from what is typical; i.e., the exercise comes first.  The idea is to allow the students to experience the difference between black and white box testing without any preconceived notions of what they are &quot;supposed to do.&quot;  Also, note that this module is incomplete.",2,52,1,smitchel,smitchel,This module is under development.  I intend on using it for my fall 2005 introductory software engineering class.
147,21:14.5,"In software engineering project courses, different teams may work on different projects and often need to use different software tools, languages, and platforms to complete the projects. It is neither practical nor interesting to all students to teach all necessary technologies in classroom. The technology evaluation and review assignment is an attempt to help students learn new technologies independently and work in teams to adopt new technologies in their projects. This individual assignment consists of three to five stages and runs in parallel with term-long team projects.",25,0,0,300,9,"The assignment consists of five stages, two of which are optional.",4,40,2,changliu,changliu,Updated the size of this module.
150,00:44.1,In this module students learn how to use low-fidelity prototyping to define requirements and establish an initial user interface design.,30,0,120,60,9,"Module under development!!!<br>Will be completed by August 15, 2005.",0,62,1,tomhorton,tomhorton,Initial checkin.
189,23:59.8,"The goal of this lab is for the students to practice test driven development activities.  The language is Java and the test environment is JUnit, but is generalizable to other languages/tools.  In this lab, the students use TDD to extend two classes which are related by the Observer design pattern.  This requires the development of a relatively simple mock object, but is a good introduction to TDD and mock objects.",0,120,0,0,9,,2,89,1,wellington,wellington,I think this is complete.
188,56:06.3,,0,0,0,0,0,,0,88,1,pkb7639,pkb7639,
