135,Analysis,"For each project, consider the quality of the documentation, the design, and the verification.  Consider the recommendations the development team gave for future work.",4
135,Analysis,"Navigate a project and its documents, understand how the project relates to the standards and the documents, evaluate both static and dynamic project quality.",3
135,Application,"Apply a methodical approach to carefully evaluating all aspects of a project, capturing the relevant data and observations.",8
135,Application,"Create HTML version of report, either based on a template or from scratch.  Ensure that the underlying HTML is &quot;clean&quot; and well structured.",5
135,Evaluation,Discuss how the lessons learned in evaluating these two projects can be applied during the semester for the student's own team.  Provide three pieces of advice for future teams.,7
135,Knowledge,"Be able to navigate a directory structure, either directly via Unix or using anonymous FTP.",2
135,Knowledge,Understand/learn concepts of software engineering needed to understand the projects produced in earlier semesters.,1
135,Synthesis,Compare and contrast the approaches in the two different projects.,6
136,Application,2. Application:  Programming to conform to design documents.,3
136,Comprehension,1. Concepts:  common program requirements.,2
136,Knowledge,"1. Knowledge of UML+ design documents and their relation to program code.<br><br>",1
137,Comprehension,To understand the difference between the concepts of white box and black box testing and the uses for each,1
137,Knowledge,To introduce the concept of path testing,3
137,Knowledge,To reinforce and formalize the concepts of equivalence partitions and boundary values,2
138,Application,Explain your software design philosophy.,3
138,Knowledge,Define the design principles of coupling and cohesion.,1
138,Knowledge,List the names of some design patterns.,2
139,Application,Apply the principles of coupling and cohesion when designing a small object-oriented software system.,5
139,Application,Explain your software design philosophy.,3
139,Comprehension,Describe what a design pattern is.,4
139,Knowledge,Define the design principles of coupling and cohesion.,1
139,Knowledge,List the names of some design patterns.,2
142,Application,Software corrective maintenance,1
142,Application,Software perfective maintenance,2
143,Comprehension,"Given a set of defects and the phases of development in which they were found, the student will be able to estimate the relative cost of correcting errors early or late in the lifecycle.",6
143,Comprehension,"Given a set of projects in different categories, the student will be able to determine which category of projects would require more V&amp;V activity, and which would require less.",5
143,Comprehension,"Given a set of software artifacts, the student will understand the appropriate verification or validation activity to that artifact.",4
143,Comprehension,"The student will be able to distinguish between verification and validation, given a set of activities.",3
143,Knowledge,"The student will be able to define both verification and validation, and to know the difference between them.",1
143,Knowledge,The student will be able to identify the appropriate activities and their classification as either verification or validation. ,2
144,Application,Develop a use case model for a small lab access system: - determine appropriate use cases - construct a use case diagram - write use case scenarios.,2
144,Knowledge,"Describe the basic terms, elements, and concepts of use case modeling.",1
145,Application,Ability to identify use case narrative actions that need refinement,2
145,Application,Refine an existing use case,3
145,Comprehension,"Identify the role and use of system use-case models<br>",1
146,Application,Develop a use case model for a small lab access system: - determine appropriate use cases - construct a use case diagram - write use case scenarios.,2
146,Knowledge,"Describe the basic terms, elements, and concepts of use case modeling.",1
147,Evaluation,,1
148,Analysis,Interpret results of usability testing and make recommendations,5
148,Application,For junior-level course or above: ability to design and conduct their own usability tests,4
148,Comprehension,Ability to review a test plan produced by someone else,3
148,Knowledge,Terminology relevant to usability testing,1
148,Knowledge,Usability testing process,2
149,Analysis,Analyze the problem statement to define quality attribute scenarios,3
149,Evaluation,Evaluate given architectural design according to the specified quality attributes.,1
149,Synthesis,Create an architectural design for a given problem statement,2
150,Application,Apply paper-prototyping to evaluate initial user-interface prototype.,1
151,Analysis,Interpret results of usability testing and make recommendations,5
151,Application,For junior-level course or above: ability to design and conduct their own usability tests,4
151,Comprehension,Ability to review a test plan produced by someone else,3
151,Knowledge,Terminology relevant to usability testing,1
151,Knowledge,Usability testing process,2
157,Application,Ability to identify use case narrative actions that need refinement,2
157,Application,Refine an existing use case,3
157,Comprehension,"Identify the role and use of system use-case models<br>",1
158,Application,Develop a use case model for a small lab access system: - determine appropriate use cases - construct a use case diagram - write use case scenarios.,2
158,Knowledge,"Describe the basic terms, elements, and concepts of use case modeling.",1
159,Application,"Students will apply material for requirements elicitation, requirements specification and user interface design (prototyping).",1
159,Synthesis,Students will synthesize the same material in creating their specification and prototype.,2
160,,,1
160,Application,Understand and apply various knowledge that is useful in software maintenance and reengineering.,2
161,Evaluation,Evaluate the merit of a new technology in the context of a specific project,1
162,Application,Know how to define a well-constructed use case.,3
162,Comprehension,Know how to interpret a use case.,2
162,Knowledge,Understand the purpose of use cases and when they would be used.,1
163,Application,Develop a use case model for a small lab access system: - determine appropriate use cases - construct a use case diagram - write use case scenarios.,2
163,Knowledge,"Describe the basic terms, elements, and concepts of use case modeling.",1
164,Application,Ability to identify use case narrative actions that need refinement,2
164,Application,Refine an existing use case,3
164,Comprehension,"Identify the role and use of system use-case models<br>",1
165,Application,Ability to identify use case narrative actions that need refinement,2
165,Application,Refine an existing use case,3
165,Comprehension,"Identify the role and use of system use-case models<br>",1
166,Application,Know how to define a well-constructed use case.,3
166,Comprehension,Know how to interpret a use case.,2
166,Knowledge,Understand the purpose of use cases and when they would be used.,1
167,Application,Apply basic OO technology to the design of a small software system. ,1
167,Evaluation,Assess quality of class model based on given criteria. ,3
167,Synthesis,Construct class model that meets all aspects of requirements document. ,2
176,Application,Plan and track a PSP project.,5
176,Comprehension,"Use PSP data, from the literature, to explain the value of PSP practices.",4
176,Knowledge,Describe the elements of PSP planning.,2
176,Knowledge,Describe the elements of PSP quality management.,3
176,Knowledge,Describe the PSP concepts and structure.,1
177,Analysis,Interpret results of usability testing and make recommendations,5
177,Application,For junior-level course or above: ability to design and conduct their own usability tests,4
177,Comprehension,Ability to review a test plan produced by someone else,3
177,Knowledge,Terminology relevant to usability testing,1
177,Knowledge,Usability testing process,2
178,Analysis,"For each project, consider the quality of the documentation, the design, and the verification.  Consider the recommendations the development team gave for future work.",4
178,Analysis,"Navigate a project and its documents, understand how the project relates to the standards and the documents, evaluate both static and dynamic project quality.",3
178,Application,"Apply a methodical approach to carefully evaluating all aspects of a project, capturing the relevant data and observations.",8
178,Application,"Create HTML version of report, either based on a template or from scratch.  Ensure that the underlying HTML is &quot;clean&quot; and well structured.",5
178,Evaluation,Discuss how the lessons learned in evaluating these two projects can be applied during the semester for the student's own team.  Provide three pieces of advice for future teams.,7
178,Knowledge,"Be able to navigate a directory structure, either directly via Unix or using anonymous FTP.",2
178,Knowledge,Understand/learn concepts of software engineering needed to understand the projects produced in earlier semesters.,1
178,Synthesis,Compare and contrast the approaches in the two different projects.,6
189,Application,The student should be able to demonstrate test driven development strategies including the use of mock objects,1
